Epoch,Train_CQ,Valid_CQ
1,48.00581359863281,49.5040283203125
2,50.4930305480957,51.32449722290039
3,51.32316207885742,51.84669876098633
4,51.655330657958984,51.95728302001953
5,51.98652648925781,52.09658432006836
6,52.406822204589844,53.01688766479492
7,52.962764739990234,54.399139404296875
8,54.033687591552734,55.50191116333008
9,54.80890655517578,55.59536361694336
10,55.5355110168457,55.95742416381836
11,55.883052825927734,56.42461395263672
12,56.17478942871094,56.719078063964844
13,56.46872329711914,57.29254150390625
14,56.640472412109375,57.474708557128906
15,56.8700065612793,57.67378234863281
16,57.2100830078125,57.780540466308594
17,57.31842803955078,57.87141799926758
18,57.49144744873047,58.19850158691406
19,57.71030807495117,58.126670837402344
20,57.879913330078125,58.48914337158203
21,57.921260833740234,58.39048385620117
22,58.131431579589844,58.516929626464844
23,58.14517593383789,58.486515045166016
24,58.33695983886719,58.5844612121582
25,58.38123321533203,58.4089469909668
26,58.578147888183594,58.80940246582031
27,58.62855529785156,58.81929397583008
28,58.679298400878906,58.328155517578125
29,58.71497344970703,58.59848403930664
30,58.8815803527832,58.89381790161133
31,58.90486526489258,58.66638946533203
32,59.05796432495117,58.9843864440918
33,59.140445709228516,58.81654739379883
34,59.17193603515625,59.2518424987793
35,59.238834381103516,59.11791229248047
36,59.205726623535156,59.02907180786133
37,59.2652473449707,58.918766021728516
38,59.32773208618164,58.87748336791992
39,59.64152145385742,59.397735595703125
40,59.72066879272461,59.400909423828125
41,59.7752571105957,59.38640213012695
42,59.86186981201172,59.4388542175293
43,59.85042953491211,59.424137115478516
44,59.93486404418945,59.38272476196289
45,59.93391799926758,59.29892349243164
46,59.64555358886719,59.28380584716797
47,59.64200973510742,59.285762786865234
48,59.73862075805664,59.24545669555664
49,59.95417022705078,59.426513671875
50,60.108306884765625,59.32381820678711
51,60.137794494628906,59.26100158691406
52,60.16307067871094,59.35701370239258
53,60.20122528076172,59.3968391418457
54,60.36866760253906,59.52006912231445
55,60.42191696166992,59.39987564086914
56,60.427188873291016,59.19968032836914
57,60.47493362426758,59.27482223510742
58,60.43659973144531,59.39740753173828
59,60.55413055419922,59.35651397705078
60,60.557491302490234,59.290199279785156
61,60.02500915527344,59.344268798828125
62,59.97163009643555,59.320762634277344
63,60.347320556640625,59.35297393798828
64,60.438987731933594,59.2144660949707
65,60.457542419433594,59.14270782470703
66,60.43903350830078,59.299888610839844
67,60.65581130981445,59.11642074584961
68,60.64911651611328,59.460044860839844
69,60.71788787841797,59.41753387451172
70,60.74741744995117,59.08226013183594
71,60.82355499267578,59.14118957519531
72,60.81251525878906,59.34092330932617
73,60.838157653808594,59.38113784790039
74,60.849552154541016,59.36683654785156
75,60.896060943603516,59.35596466064453
76,60.30246353149414,59.26529312133789
77,60.26310348510742,59.15156936645508
78,60.33770751953125,59.11582946777344
79,60.63422775268555,59.02001190185547
80,60.69929122924805,59.43876266479492
81,60.748905181884766,59.162452697753906
82,60.78939437866211,59.31670379638672
83,60.946468353271484,59.30782699584961
84,60.98967361450195,59.33617401123047
85,61.012577056884766,59.25568389892578
86,61.02735137939453,59.1407356262207
87,61.11119079589844,59.14713668823242
88,61.130897521972656,59.25804901123047
89,61.173179626464844,59.164772033691406
90,61.15214920043945,59.25490188598633
91,60.979957580566406,59.24888610839844
92,60.9548454284668,59.040016174316406
93,61.00785827636719,59.1957893371582
94,60.99723815917969,59.18970489501953
95,61.16237258911133,58.88038635253906
