Epoch,Train_CQ,Valid_CQ
1,47.38347625732422,47.22398376464844
2,47.404117584228516,47.24742126464844
3,47.420894622802734,47.25303268432617
4,47.4261360168457,47.256710052490234
5,47.43150329589844,47.282814025878906
6,47.43561935424805,47.278141021728516
7,47.40446472167969,47.21476745605469
8,47.27299499511719,47.047054290771484
9,47.27605438232422,47.05238342285156
10,47.07712173461914,46.98619842529297
11,47.16062545776367,46.985923767089844
12,47.108131408691406,46.903621673583984
13,47.06819152832031,46.88995361328125
14,47.071319580078125,46.90424346923828
15,47.07510757446289,46.900718688964844
16,47.14716339111328,47.222442626953125
17,47.391841888427734,47.22243881225586
